C:\Python27\python.exe C:/Users/Administrator/PycharmProjects/untitled/sina_stock4.py
无法获取代码为201000: 的股票信息
无法获取代码为201001: 的股票信息
无法获取代码为201002: 的股票信息
无法获取代码为201003: 的股票信息
无法获取代码为201004: 的股票信息
无法获取代码为201005: 的股票信息
无法获取代码为201008: 的股票信息
无法获取代码为201009: 的股票信息
无法获取代码为201010: 的股票信息
无法获取代码为202001: 的股票信息
无法获取代码为202003: 的股票信息
无法获取代码为202007: 的股票信息
无法获取代码为203007: 的股票信息
无法获取代码为203008: 的股票信息
无法获取代码为203009: 的股票信息
无法获取代码为203016: 的股票信息
无法获取代码为203017: 的股票信息
无法获取代码为203018: 的股票信息
无法获取代码为203019: 的股票信息
无法获取代码为203020: 的股票信息
无法获取代码为203021: 的股票信息
无法获取代码为203031: 的股票信息
无法获取代码为203032: 的股票信息
无法获取代码为203033: 的股票信息
无法获取代码为203040: 的股票信息
无法获取代码为203041: 的股票信息
无法获取代码为203042: 的股票信息
无法获取代码为203043: 的股票信息
无法获取代码为203044: 的股票信息
无法获取代码为203045: 的股票信息
无法获取代码为203049: 的股票信息
无法获取代码为203050: 的股票信息
无法获取代码为203051: 的股票信息
无法获取代码为203052: 的股票信息
无法获取代码为203053: 的股票信息
无法获取代码为203054: 的股票信息
无法获取代码为204001: 的股票信息
无法获取代码为204002: 的股票信息
无法获取代码为204003: 的股票信息
无法获取代码为204004: 的股票信息
无法获取代码为204007: 的股票信息
无法获取代码为204014: 的股票信息
无法获取代码为204028: 的股票信息
无法获取代码为204091: 的股票信息
无法获取代码为204182: 的股票信息
无法获取代码为500001: 的股票信息
无法获取代码为500002: 的股票信息
无法获取代码为500003: 的股票信息
无法获取代码为500005: 的股票信息
无法获取代码为500006: 的股票信息
无法获取代码为500007: 的股票信息
无法获取代码为500008: 的股票信息
无法获取代码为500009: 的股票信息
无法获取代码为500010: 的股票信息
无法获取代码为500011: 的股票信息
无法获取代码为500013: 的股票信息
无法获取代码为500015: 的股票信息
无法获取代码为500016: 的股票信息
无法获取代码为500017: 的股票信息
无法获取代码为500018: 的股票信息
无法获取代码为500019: 的股票信息
无法获取代码为500021: 的股票信息
无法获取代码为500025: 的股票信息
无法获取代码为500028: 的股票信息
无法获取代码为500029: 的股票信息
无法获取代码为500035: 的股票信息
无法获取代码为500038: 的股票信息
无法获取代码为500039: 的股票信息
无法获取代码为500056: 的股票信息
代码为502037当前值相对10天内的最大值下跌了： 0.0 %
代码为502038当前值相对10天内的最大值下跌了： 2.17391304348 %
代码为502040当前值相对10天内的最大值下跌了： 5.14184397163 %
代码为502041当前值相对10天内的最大值下跌了： 9.85306828003 %
代码为502042当前值相对10天内的最大值下跌了： 6.96474634566 %
代码为502048当前值相对10天内的最大值下跌了： 9.09090909091 %
代码为502049当前值相对10天内的最大值下跌了： 0.552486187845 %
代码为502050当前值相对10天内的最大值下跌了： 4.05319822673 %
代码为502053当前值相对10天内的最大值下跌了： 4.25943852856 %
代码为502054当前值相对10天内的最大值下跌了： 7.68566493955 %
代码为502055当前值相对10天内的最大值下跌了： 3.47734457323 %
代码为502056当前值相对10天内的最大值下跌了： 2.00210748156 %
代码为502057当前值相对10天内的最大值下跌了： 0.19120458891 %
代码为502058当前值相对10天内的最大值下跌了： 1.07270560191 %
代码为505888当前值相对10天内的最大值下跌了： 0.706713780919 %
代码为510010当前值相对10天内的最大值下跌了： 1.93151887621 %
代码为510020当前值相对10天内的最大值下跌了： 0.699043414275 %
代码为510030当前值相对10天内的最大值下跌了： 0.0 %
代码为510050当前值相对10天内的最大值下跌了： 2.18818380744 %
代码为510060当前值相对10天内的最大值下跌了： 1.46898803047 %
代码为510070当前值相对10天内的最大值下跌了： 0.633640552995 %
代码为510090当前值相对10天内的最大值下跌了： 0.0 %
代码为510110当前值相对10天内的最大值下跌了： 4.26592797784 %
代码为510120当前值相对10天内的最大值下跌了： 0.0 %
代码为510130当前值相对10天内的最大值下跌了： 0.176901693202 %
代码为510150当前值相对10天内的最大值下跌了： 5.34521158129 %
代码为510160当前值相对10天内的最大值下跌了： 0.32414910859 %
代码为510170当前值相对10天内的最大值下跌了： 1.14942528736 %
代码为510180当前值相对10天内的最大值下跌了： 1.53801508996 %
代码为510190当前值相对10天内的最大值下跌了： 3.72325646013 %
代码为510210当前值相对10天内的最大值下跌了： 0.156617071261 %
代码为510220当前值相对10天内的最大值下跌了： 0.0729927007299 %
代码为510230当前值相对10天内的最大值下跌了： 2.92332268371 %
代码为510260当前值相对10天内的最大值下跌了： 0.600858369099 %
代码为510270当前值相对10天内的最大值下跌了： 0.702987697715 %
代码为510280当前值相对10天内的最大值下跌了： 0.92936802974 %
代码为510290当前值相对10天内的最大值下跌了： 0.379266750948 %
代码为510300当前值相对10天内的最大值下跌了： 1.484375 %
代码为510310当前值相对10天内的最大值下跌了： 1.4953271028 %
代码为510330当前值相对10天内的最大值下跌了： 1.41567000244 %
代码为510360当前值相对10天内的最大值下跌了： 1.59529806885 %
代码为510410当前值相对10天内的最大值下跌了： 1.50637311703 %
代码为510420当前值相对10天内的最大值下跌了： 1.83246073298 %
代码为510430当前值相对10天内的最大值下跌了： 7.19649561952 %
代码为510440当前值相对10天内的最大值下跌了： 1.82894029048 %
无法获取代码为510450: 的股票信息
代码为510500当前值相对10天内的最大值下跌了： 0.390273191234 %
代码为510510当前值相对10天内的最大值下跌了： 0.34188034188 %
代码为510520当前值相对10天内的最大值下跌了： 1.33798720186 %
代码为510560当前值相对10天内的最大值下跌了： 0.763941940413 %
代码为510580当前值相对10天内的最大值下跌了： 0.549805950841 %
无法获取代码为510610: 的股票信息
无法获取代码为510620: 的股票信息
代码为510630当前值相对10天内的最大值下跌了： 0.0 %
代码为510650当前值相对10天内的最大值下跌了： 3.32394366197 %
代码为510660当前值相对10天内的最大值下跌了： 0.30432136336 %
代码为510680当前值相对10天内的最大值下跌了： 3.91264786169 %
无法获取代码为510700: 的股票信息
代码为510710当前值相对10天内的最大值下跌了： 3.44093650231 %
代码为510810当前值相对10天内的最大值下跌了： 1.92122958694 %
代码为510880当前值相对10天内的最大值下跌了： 2.23097112861 %
代码为510900当前值相对10天内的最大值下跌了： 0.897959183673 %
代码为511010当前值相对10天内的最大值下跌了： 0.304282664971 %
代码为511210当前值相对10天内的最大值下跌了： 0.606524817642 %
代码为511220当前值相对10天内的最大值下跌了： 0.786126675046 %
代码为511230当前值相对10天内的最大值下跌了： 0.790079007901 %
代码为511600当前值相对10天内的最大值下跌了： -0.0040001200036 %
无法获取代码为511650: 的股票信息
无法获取代码为511660: 的股票信息
无法获取代码为511680: 的股票信息
代码为511690当前值相对10天内的最大值下跌了： -0.00500005000051 %
代码为511700当前值相对10天内的最大值下跌了： 0.0239882457596 %
无法获取代码为511760: 的股票信息
代码为511770当前值相对10天内的最大值下跌了： -0.0120002400048 %
代码为511800当前值相对10天内的最大值下跌了： -0.00500005000051 %
代码为511810当前值相对10天内的最大值下跌了： -0.015001200096 %
无法获取代码为511820: 的股票信息
代码为511830当前值相对10天内的最大值下跌了： -0.0060000600006 %
无法获取代码为511850: 的股票信息
代码为511860当前值相对10天内的最大值下跌了： -0.00200002000021 %
代码为511880当前值相对10天内的最大值下跌了： 0.00685078979819 %
代码为511890当前值相对10天内的最大值下跌了： 0.0040001200036 %
代码为511900当前值相对10天内的最大值下跌了： -0.0060001800054 %
代码为511910当前值相对10天内的最大值下跌了： -0.0060001800054 %
代码为511920当前值相对10天内的最大值下跌了： 0.0030000600012 %
无法获取代码为511930: 的股票信息
无法获取代码为511950: 的股票信息
代码为511960当前值相对10天内的最大值下跌了： -0.0030000600012 %
代码为511970当前值相对10天内的最大值下跌了： -0.0010000100001 %
代码为511980当前值相对10天内的最大值下跌了： 0.0 %
代码为511990当前值相对10天内的最大值下跌了： -0.0180012600882 %
代码为512000当前值相对10天内的最大值下跌了： 2.51694094869 %
代码为512010当前值相对10天内的最大值下跌了： 3.30469266358 %
代码为512070当前值相对10天内的最大值下跌了： 2.8 %
代码为512100当前值相对10天内的最大值下跌了： 0.116279069767 %
无法获取代码为512110: 的股票信息
代码为512120当前值相对10天内的最大值下跌了： 1.12517580872 %
代码为512210当前值相对10天内的最大值下跌了： 11.5521628499 %
代码为512220当前值相对10天内的最大值下跌了： 1.28983308042 %
代码为512230当前值相对10天内的最大值下跌了： 0.232919254658 %
代码为512300当前值相对10天内的最大值下跌了： 0.431778929188 %
代码为512310当前值相对10天内的最大值下跌了： 0.432276657061 %
代码为512330当前值相对10天内的最大值下跌了： 1.14358322745 %
代码为512340当前值相对10天内的最大值下跌了： 2.18905472637 %
代码为512500当前值相对10天内的最大值下跌了： 0.294599018003 %
代码为512510当前值相对10天内的最大值下跌了： 0.616808018504 %
代码为512550当前值相对10天内的最大值下跌了： 0.700700700701 %
代码为512560当前值相对10天内的最大值下跌了： 1.07843137255 %
无法获取代码为512570: 的股票信息
代码为512580当前值相对10天内的最大值下跌了： 0.50916496945 %
代码为512600当前值相对10天内的最大值下跌了： 7.0060483871 %
代码为512610当前值相对10天内的最大值下跌了： 7.26072607261 %
代码为512640当前值相对10天内的最大值下跌了： 1.6 %
代码为512660当前值相对10天内的最大值下跌了： 1.22358175751 %
代码为512680当前值相对10天内的最大值下跌了： 1.3698630137 %
代码为512700当前值相对10天内的最大值下跌了： 2.92682926829 %
代码为512800当前值相对10天内的最大值下跌了： 2.83757338552 %
代码为512810当前值相对10天内的最大值下跌了： 2.18390804598 %
代码为512880当前值相对10天内的最大值下跌了： 2.5641025641 %
代码为512900当前值相对10天内的最大值下跌了： 2.39923224568 %
代码为512990当前值相对10天内的最大值下跌了： 0.895255147717 %
代码为513030当前值相对10天内的最大值下跌了： 0.804289544236 %
代码为513050当前值相对10天内的最大值下跌了： 0.409556313993 %
代码为513100当前值相对10天内的最大值下跌了： 1.13421550095 %
代码为513500当前值相对10天内的最大值下跌了： 0.323834196891 %
代码为513600当前值相对10天内的最大值下跌了： 0.969696969697 %
代码为513660当前值相对10天内的最大值下跌了： 0.0 %
代码为518800当前值相对10天内的最大值下跌了： 1.09569028488 %
代码为518880当前值相对10天内的最大值下跌了： 1.09090909091 %
无法获取代码为580012: 的股票信息
无法获取代码为580013: 的股票信息
无法获取代码为580014: 的股票信息
无法获取代码为580016: 的股票信息
无法获取代码为580017: 的股票信息
无法获取代码为580019: 的股票信息
无法获取代码为580020: 的股票信息
无法获取代码为580021: 的股票信息
无法获取代码为580022: 的股票信息
无法获取代码为580023: 的股票信息
无法获取代码为580024: 的股票信息
无法获取代码为580025: 的股票信息
无法获取代码为580026: 的股票信息
无法获取代码为580027: 的股票信息
代码为600000当前值相对10天内的最大值下跌了： 6.05839416058 %
无法获取代码为600001: 的股票信息
无法获取代码为600002: 的股票信息
无法获取代码为600003: 的股票信息
代码为600004当前值相对10天内的最大值下跌了： 5.966930266 %
无法获取代码为600005: 的股票信息
代码为600006当前值相对10天内的最大值下跌了： 5.09554140127 %
代码为600007当前值相对10天内的最大值下跌了： 2.33250620347 %
代码为600008当前值相对10天内的最大值下跌了： 3.25581395349 %
代码为600009当前值相对10天内的最大值下跌了： 1.75252257037 %
代码为600010当前值相对10天内的最大值下跌了： 6.62460567823 %
代码为600011当前值相对10天内的最大值下跌了： 4.04312668464 %
代码为600012当前值相对10天内的最大值下跌了： 6.91114245416 %
代码为600015当前值相对10天内的最大值下跌了： 1.41271442987 %
代码为600016当前值相对10天内的最大值下跌了： 2.50569476082 %
代码为600017当前值相对10天内的最大值下跌了： 4.51745379877 %
代码为600018当前值相对10天内的最大值下跌了： 5.40540540541 %
代码为600019当前值相对10天内的最大值下跌了： 5.67928730512 %
代码为600020当前值相对10天内的最大值下跌了： 11.509715994 %
代码为600021当前值相对10天内的最大值下跌了： 2.30572160547 %
代码为600022当前值相对10天内的最大值下跌了： 5.47445255474 %
代码为600023当前值相对10天内的最大值下跌了： 2.86225402504 %
代码为600026当前值相对10天内的最大值下跌了： 2.10084033613 %
代码为600027当前值相对10天内的最大值下跌了： 3.1512605042 %
代码为600028当前值相对10天内的最大值下跌了： 3.36538461538 %
代码为600029当前值相对10天内的最大值下跌了： 2.55474452555 %
代码为600030当前值相对10天内的最大值下跌了： 2.91153415454 %
代码为600031当前值相对10天内的最大值下跌了： 2.8729281768 %
代码为600033当前值相对10天内的最大值下跌了： 2.59433962264 %
代码为600035当前值相对10天内的最大值下跌了： 1.92644483363 %
代码为600036当前值相对10天内的最大值下跌了： 4.54209748892 %
代码为600037当前值相对10天内的最大值下跌了： 1.98358413133 %
代码为600038当前值相对10天内的最大值下跌了： 1.69491525424 %
代码为600039当前值相对10天内的最大值下跌了： 1.72786177106 %
代码为600048当前值相对10天内的最大值下跌了： 5.79981290926 %
无法获取代码为600050: 的股票信息
代码为600051当前值相对10天内的最大值下跌了： 2.20440881764 %
代码为600052当前值相对10天内的最大值下跌了： 0.403225806452 %
代码为600053当前值相对10天内的最大值下跌了： 7.04304080492 %
代码为600054当前值相对10天内的最大值下跌了： 2.71575135788 %
代码为600055当前值相对10天内的最大值下跌了： 3.10663308144 %
代码为600056当前值相对10天内的最大值下跌了： 0.797130330809 %
